                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.661,                 3.7874,                 1.3502,                0.01101,                0.79722,                0.05736,                0.02744,                 1.7801,                  3.433,                 1.3823,                    0.1,                      0,                      0
                      1,                 1.7174,                 3.7147,                 1.3462,                0.01101,                0.79722,                 0.0583,                0.02633,                 1.7723,                 3.4324,                 1.3778,                 0.0991,             9.9802e-05,             9.9802e-05
                      2,                 1.7943,                 3.6827,                 1.3819,                0.01127,                0.82222,                0.05699,                 0.0263,                 1.7867,                  3.419,                 1.3713,               0.098199,             0.00019921,             0.00019921
                      3,                  1.636,                 3.7141,                 1.3337,                0.01132,                  0.825,                0.06169,                0.02742,                 1.7738,                  3.388,                 1.3484,               0.097298,             0.00029822,             0.00029822
                      4,                 1.7276,                 3.7769,                 1.4131,                 0.0116,                   0.85,                0.07151,                0.03026,                 1.7459,                 3.3501,                 1.3199,               0.096397,             0.00039683,             0.00039683
                      5,                 1.7685,                 3.6025,                 1.5044,                0.01246,                  0.925,                0.07994,                0.03365,                 1.6807,                 3.3228,                 1.2941,               0.095495,             0.00049505,             0.00049505
                      6,                 1.4922,                  3.661,                 1.1912,                0.01245,                  0.925,                0.10305,                0.04511,                 1.6366,                 3.2745,                 1.2672,               0.094593,             0.00059287,             0.00059287
                      7,                 1.5703,                 3.6184,                 1.3132,                0.01294,                   0.95,                0.12991,                0.06515,                 1.5602,                 3.2247,                 1.2241,                0.09369,              0.0006903,              0.0006903
                      8,                 1.5441,                 3.5312,                 1.3163,                0.01253,                  0.925,                0.13747,                0.08017,                 1.4708,                 3.1822,                 1.1769,               0.092787,             0.00078733,             0.00078733
                      9,                 1.6246,                 3.5358,                 1.4337,                0.01257,                  0.925,                0.12459,                0.07273,                 1.4102,                 3.1127,                  1.117,               0.091884,             0.00088396,             0.00088396
                     10,                 1.4364,                  3.541,                 1.1913,                0.01303,                   0.95,                0.11422,                0.06762,                 1.3449,                 3.0719,                 1.0846,                0.09098,              0.0009802,              0.0009802
                     11,                 1.3408,                 3.5011,                 1.1294,                0.01377,                      1,                 0.1236,                0.07369,                 1.3006,                 3.0253,                 1.0638,               0.090076,               0.001076,               0.001076
                     12,                 1.5219,                 3.5048,                 1.1546,                0.01272,                   0.95,                0.12171,                0.07346,                 1.3146,                 2.9894,                 1.0765,               0.089171,              0.0011715,              0.0011715
                     13,                 1.3954,                 3.3568,                 1.2586,                0.01333,                  0.975,                 0.1317,                0.08463,                 1.2513,                 2.9375,                 1.0493,               0.088267,              0.0012665,              0.0012665
                     14,                 1.3157,                 3.2906,                 1.1396,                0.01339,                  0.975,                0.14358,                0.09154,                 1.2857,                 2.8788,                 1.0662,               0.087361,              0.0013612,              0.0013612
                     15,                 1.3004,                 3.2849,                 1.1196,                0.01342,                  0.975,                0.18176,                0.11231,                 1.3648,                 2.8295,                 1.0999,               0.086455,              0.0014555,              0.0014555
                     16,                 1.3376,                 3.2714,                 1.1699,                0.01381,                      1,                0.21671,                0.12847,                  1.408,                 2.7638,                 1.1008,               0.085549,              0.0015493,              0.0015493
                     17,                 1.3766,                 3.2192,                 1.1599,                0.01381,                      1,                0.21671,                0.12847,                  1.408,                 2.7638,                 1.1008,               0.084643,              0.0016428,              0.0016428
                     18,                 1.3467,                  3.163,                 1.1418,                0.22211,                0.56944,                0.23471,                0.14634,                 1.3341,                 2.6739,                 1.0531,               0.083736,              0.0017358,              0.0017358
                     19,                 1.1411,                 3.0927,                 1.0148,                0.22211,                0.56944,                0.23471,                0.14634,                 1.3341,                 2.6739,                 1.0531,               0.082829,              0.0018285,              0.0018285
                     20,                 1.2265,                  3.029,                 1.0947,                0.16942,                  0.875,                0.23598,                0.14871,                 1.2501,                 2.5722,                 1.0057,               0.081921,              0.0019208,              0.0019208
                     21,                 1.3071,                 3.0901,                 1.0946,                0.16942,                  0.875,                0.23598,                0.14871,                 1.2501,                 2.5722,                 1.0057,               0.081013,              0.0020127,              0.0020127
